Incident_ID,Type_of_Crime,Severity,Date,Time,Day,Area,Lat,Lon,Street_Light,CCTV,Police_Distance_km,Victim_Age_Group,Arrest_Made,Case_Status,Risk_Label,Is_Real,Source
2928,Eve-teasing,Low,14-05-2023,08:30,Thursday,Nizampura,22.269009,73.054969,Yes,No,8.9,45+,No,Open,Low,FALSE,SYNTHETIC
2327,Stalking,Medium,11-11-2024,17:30,Wednesday,Chhani,22.253307,73.225947,No,Yes,7.3,25-35,No,Open,Low,FALSE,SYNTHETIC
2120,Attempted Theft & Harassment,Low,28-10-2023,17:30,Saturday,Waghodia,22.256125,73.137652,No,No,14.9,18-25,No,Open,Low,FALSE,SYNTHETIC
2602,Gang Rape,High,30-10-2018,19:00,Tuesday,Alkapuri,22.178797,73.102644,No,Yes,3.1,45+,No,Open,Low,FALSE,SYNTHETIC
2480,Assault & Harassment,Medium,17-06-2022,12:00,Saturday,Suncity,22.246528,73.033048,No,No,5.3,25-35,No,Closed,Low,FALSE,SYNTHETIC
2351,Attempted Theft & Harassment,Low,25-02-2024,22:00,Wednesday,Akota,22.284822,73.177708,No,No,7,Child,No,Investigation,Medium,FALSE,SYNTHETIC
2179,Theft (with harassment),Medium,02-05-2018,17:30,Sunday,Nizampura,22.207035,73.168259,Yes,Yes,5.8,18-25,No,Open,Medium,FALSE,SYNTHETIC
2668,Attempted Theft & Harassment,Low,31-07-2024,22:00,Wednesday,Karjan,22.33634,73.228586,Yes,Yes,2.9,35-45,No,Open,Low,FALSE,SYNTHETIC
2565,Eve-teasing,Low,29-11-2020,23:30,Sunday,Gorwa,22.161933,73.192741,Yes,No,2,25-35,Yes,Investigation,High,FALSE,SYNTHETIC
2882,Attempted Theft & Harassment,Low,25-06-2021,06:00,Tuesday,Chhani,22.221769,73.099741,Yes,No,8.6,35-45,Yes,Under Trial,Low,FALSE,SYNTHETIC
2040,Attempted Rape,High,08-05-2023,06:00,Thursday,Gorwa,22.338369,73.243362,Yes,No,14.3,35-45,Yes,Investigation,Low,FALSE,SYNTHETIC
2309,Theft (with harassment),Medium,07-02-2019,15:00,Tuesday,Padra Road,22.387885,73.119285,No,No,10.1,18-25,Yes,Open,Low,FALSE,SYNTHETIC
2077,Attempted Theft & Harassment,Low,18-11-2020,22:00,Saturday,Sama,22.367599,73.231058,No,No,7.1,Teen,Yes,Under Trial,Low,FALSE,SYNTHETIC
2293,Harassment,Low,31-08-2025,17:30,Sunday,Akota,22.322649,73.103785,Yes,No,11.4,Teen,No,Under Trial,Low,FALSE,SYNTHETIC
2955,Stalking,Medium,15-02-2019,06:00,Friday,Gorwa,22.173031,73.277048,No,Yes,1.9,35-45,No,Sentenced,High,FALSE,SYNTHETIC
2280,Molestation,Medium,09-04-2019,12:00,Wednesday,Gotri,22.175928,73.257807,Yes,Yes,7.3,45+,No,Open,Low,FALSE,SYNTHETIC
2258,Harassment,Low,13-12-2019,15:00,Friday,Sayajigunj,22.212373,73.144112,No,Yes,13.8,Child,Yes,Open,High,FALSE,SYNTHETIC
2905,Rape (motel),High,30-01-2021,17:30,Friday,Nizampura,22.347565,73.188714,No,No,1.6,18-25,Yes,Under Trial,Low,FALSE,SYNTHETIC
2582,Sexual Assault (workplace),High,17-08-2025,20:30,Monday,Gorwa,22.203189,73.240171,Yes,No,4.4,18-25,Yes,Open,Low,FALSE,SYNTHETIC
2420,Attempted Theft & Harassment,Low,12-09-2023,08:30,Friday,Chhani,22.349189,73.111467,Yes,Yes,9.8,25-35,No,Investigation,Medium,FALSE,SYNTHETIC
2818,Assault & Harassment,Medium,14-03-2024,15:00,Monday,Manjalpur,22.331228,73.226985,Yes,No,0.7,18-25,No,Investigation,Medium,FALSE,SYNTHETIC
2551,Sexual Assault (workplace),High,16-03-2024,08:30,Tuesday,Karjan,22.254284,73.148334,No,Yes,7.5,Child,No,Investigation,Medium,FALSE,SYNTHETIC
2860,Rape (motel),High,10-12-2018,12:00,Wednesday,Chhani,22.359518,73.160851,No,Yes,12.6,18-25,Yes,Under Trial,Low,FALSE,SYNTHETIC
2242,Stalking,Medium,03-10-2024,19:00,Tuesday,Vadodara Railway Station,22.309912,73.056028,Yes,No,7.5,25-35,Yes,Open,High,FALSE,SYNTHETIC
2559,Gang Rape,High,22-01-2025,15:00,Friday,Akota,22.255431,73.087046,No,Yes,12.1,35-45,No,Closed,High,FALSE,SYNTHETIC
2004,Eve-teasing,Low,06-01-2024,08:30,Tuesday,Chhani,22.28801,73.237351,No,Yes,9.4,25-35,Yes,Under Trial,Low,FALSE,SYNTHETIC
2011,Stalking,Medium,02-03-2025,23:30,Monday,Vadodara Railway Station,22.18821,73.220628,No,No,8.2,45+,Yes,Investigation,Medium,FALSE,SYNTHETIC
2598,Molestation,Medium,18-07-2024,23:30,Sunday,Akota,22.267381,73.180832,Yes,No,4.5,Teen,Yes,Open,Medium,FALSE,SYNTHETIC
1011,Rape (motel),High,15-12-2023,23:30,Friday,Nizampura,22.298,73.174,No,No,2,16,Yes,Closed,High,TRUE,"Times of India (Dec 16, 2023) - motel owner arrested"
2202,Stalking,Medium,11-11-2019,12:00,Wednesday,Sayajigunj,22.35136,73.172519,No,Yes,8.1,45+,Yes,Open,Medium,FALSE,SYNTHETIC
2801,Rape (motel),High,20-08-2021,19:00,Thursday,Padra Road,22.357472,73.046892,No,No,0.6,Child,Yes,Open,Medium,FALSE,SYNTHETIC
2277,Attempted Theft & Harassment,Low,04-01-2019,23:30,Sunday,Waghodia,22.330894,73.256195,Yes,Yes,9.7,35-45,No,Open,Low,FALSE,SYNTHETIC
2035,Sexual Harassment (Public Transport),Medium,08-11-2024,08:30,Saturday,Nizampura,22.371534,73.173918,Yes,Yes,10.8,35-45,No,Open,Low,FALSE,SYNTHETIC
2523,Sexual Assault (workplace),High,23-04-2018,06:00,Tuesday,Padra,22.260851,73.190275,Yes,Yes,0.2,18-25,No,Open,Low,FALSE,SYNTHETIC
2190,Stalking,Medium,13-02-2018,08:30,Sunday,Karjan,22.277669,73.159699,Yes,No,8.8,45+,Yes,Investigation,Low,FALSE,SYNTHETIC
2585,Sexual Assault (workplace),High,28-05-2022,23:30,Sunday,Waghodia,22.312817,73.164662,No,No,13.4,Child,No,Investigation,Low,FALSE,SYNTHETIC
2673,Stalking,Medium,10-02-2020,12:00,Monday,Sama,22.389356,73.180536,No,No,3.4,25-35,No,Open,Medium,FALSE,SYNTHETIC
2643,Sexual Assault (workplace),High,11-05-2023,06:00,Tuesday,Gorwa,22.32664,73.037064,No,Yes,10.1,18-25,No,Investigation,High,FALSE,SYNTHETIC
2847,Rape (motel),High,08-06-2018,20:30,Wednesday,Karjan,22.245073,73.175975,No,No,9.6,35-45,Yes,Closed,High,FALSE,SYNTHETIC
2051,Attempted Rape,High,02-02-2023,17:30,Wednesday,Sama,22.207635,73.210321,No,Yes,4.9,Child,Yes,Open,Medium,FALSE,SYNTHETIC
2524,Theft (with harassment),Medium,30-08-2024,20:30,Thursday,Kunal Crossroads,22.269591,73.213793,No,Yes,4.1,Child,No,Under Trial,Low,FALSE,SYNTHETIC
2088,Attempted Theft & Harassment,Low,11-02-2019,08:30,Saturday,Harni,22.366373,73.137517,Yes,No,13.3,35-45,No,Under Trial,Low,FALSE,SYNTHETIC
2474,Molestation,Medium,30-05-2021,12:00,Tuesday,Sama,22.347317,73.086695,Yes,No,5.7,25-35,Yes,Open,Low,FALSE,SYNTHETIC
2571,Stalking,Medium,19-07-2018,17:30,Thursday,Sama,22.195769,73.214915,No,No,0.2,45+,No,Open,Low,FALSE,SYNTHETIC
2722,Sexual Assault (workplace),High,01-04-2019,12:00,Thursday,Gotri,22.15803,73.217783,No,No,7.6,Teen,No,Under Trial,Medium,FALSE,SYNTHETIC
2273,Rape (motel),High,07-03-2025,17:30,Thursday,Harni,22.162147,73.27867,No,Yes,10,Child,Yes,Open,Low,FALSE,SYNTHETIC
2270,Harassment,Low,12-08-2021,23:30,Friday,Sayajigunj,22.319187,73.186672,No,Yes,3.9,Child,No,Open,Low,FALSE,SYNTHETIC
2633,Stalking,Medium,28-03-2018,08:30,Tuesday,Sama,22.334478,73.219311,No,Yes,9.4,Teen,Yes,Open,Low,FALSE,SYNTHETIC
2020,Molestation,Medium,21-08-2018,23:30,Friday,Waghodia,22.16713,73.04699,Yes,Yes,13,35-45,Yes,Closed,Medium,FALSE,SYNTHETIC
2570,Attempted Rape,High,11-05-2019,19:00,Tuesday,Padra Road,22.160071,73.068326,Yes,No,5.7,25-35,No,Open,Low,FALSE,SYNTHETIC
2288,Theft (with harassment),Medium,10-07-2018,08:30,Thursday,Nizampura,22.314614,73.269048,No,Yes,2.2,35-45,Yes,Investigation,Low,FALSE,SYNTHETIC
2660,Assault & Harassment,Medium,07-02-2018,23:30,Saturday,Nizampura,22.186175,73.265722,Yes,No,12.6,35-45,No,Open,Low,FALSE,SYNTHETIC
2047,Sexual Harassment (Public Transport),Medium,23-01-2022,22:00,Friday,Akota,22.194034,73.160437,No,No,9.8,45+,No,Investigation,High,FALSE,SYNTHETIC
2256,Attempted Theft & Harassment,Low,27-06-2021,17:30,Saturday,Vasna,22.321213,73.273124,No,Yes,3.6,25-35,No,Under Trial,Low,FALSE,SYNTHETIC
2048,Theft (with harassment),Medium,02-10-2020,08:30,Tuesday,Karjan,22.210966,73.146177,No,Yes,9.2,35-45,No,Open,High,FALSE,SYNTHETIC
2299,Rape (motel),High,17-01-2022,17:30,Tuesday,Sayajigunj,22.282625,73.279158,Yes,Yes,12.4,Child,Yes,Open,Low,FALSE,SYNTHETIC
2529,Assault & Harassment,Medium,12-02-2018,22:00,Monday,Akota,22.3936,73.129389,Yes,Yes,3.3,35-45,No,Under Trial,Low,FALSE,SYNTHETIC
2979,Sexual Harassment (Public Transport),Medium,21-12-2024,22:00,Tuesday,Padra,22.200537,73.243994,No,Yes,7.4,25-35,No,Closed,Medium,FALSE,SYNTHETIC
2695,Sexual Harassment (Public Transport),Medium,17-05-2023,06:00,Monday,Ajwa Road,22.310968,73.106072,Yes,Yes,4.2,25-35,No,Under Trial,Low,FALSE,SYNTHETIC
2734,Sexual Harassment (Public Transport),Medium,26-09-2019,08:30,Thursday,Sama,22.189551,73.12982,No,Yes,1.3,35-45,No,Investigation,Low,FALSE,SYNTHETIC
2308,Attempted Rape,High,24-01-2020,15:00,Saturday,Vadodara Railway Station,22.198582,73.075339,Yes,No,12,Teen,No,Investigation,Low,FALSE,SYNTHETIC
2363,Gang Rape,High,22-06-2023,15:00,Saturday,Kunal Crossroads,22.34714,73.219174,Yes,No,12.1,35-45,Yes,Open,Low,FALSE,SYNTHETIC
2432,Molestation,Medium,16-12-2021,17:30,Tuesday,Sama,22.158832,73.260716,Yes,No,11.3,Child,No,Open,Medium,FALSE,SYNTHETIC
2503,Theft (with harassment),Medium,18-01-2023,19:00,Saturday,Chhani,22.264914,73.038215,No,No,8.4,25-35,Yes,Investigation,Low,FALSE,SYNTHETIC
2199,Harassment,Low,17-11-2019,08:30,Saturday,Padra Road,22.34897,73.085132,No,Yes,0.7,18-25,No,Open,Medium,FALSE,SYNTHETIC
2768,Rape (motel),High,02-06-2019,19:00,Thursday,Akota,22.37195,73.271459,No,No,6.3,35-45,Yes,Investigation,Low,FALSE,SYNTHETIC
2417,Sexual Harassment (Public Transport),Medium,09-08-2018,08:30,Sunday,Suncity,22.194746,73.17903,Yes,Yes,9,Child,No,Investigation,Low,FALSE,SYNTHETIC
2745,Theft (with harassment),Medium,29-11-2024,20:30,Saturday,Manjalpur,22.337486,73.185956,No,No,8.3,Child,No,Investigation,High,FALSE,SYNTHETIC
2069,Assault & Harassment,Medium,07-09-2021,23:30,Saturday,Chhani,22.3067,73.25186,No,Yes,7.4,45+,Yes,Investigation,Low,FALSE,SYNTHETIC
2044,Rape (motel),High,02-06-2019,22:00,Saturday,Manjalpur,22.386939,73.146258,Yes,Yes,4,25-35,Yes,Investigation,High,FALSE,SYNTHETIC
2807,Gang Rape,High,02-08-2020,06:00,Sunday,Vadodara Railway Station,22.23273,73.086005,Yes,No,14.1,25-35,No,Under Trial,Low,FALSE,SYNTHETIC
2697,Molestation,Medium,01-02-2019,06:00,Friday,Harni,22.232803,73.215323,No,Yes,5.5,45+,No,Open,Low,FALSE,SYNTHETIC
2332,Rape (motel),High,05-07-2025,20:30,Friday,Chhani,22.200078,73.033842,No,No,10.6,Teen,No,Under Trial,Medium,FALSE,SYNTHETIC
2917,Attempted Rape,High,02-12-2022,22:00,Saturday,Gotri,22.352916,73.237077,No,No,10.9,Teen,No,Open,High,FALSE,SYNTHETIC
2237,Rape (motel),High,13-12-2019,12:00,Friday,Raopura,22.229501,73.214526,Yes,Yes,5.5,45+,Yes,Under Trial,Low,FALSE,SYNTHETIC
2616,Stalking,Medium,14-09-2021,20:30,Saturday,Chhani,22.387173,73.045927,No,Yes,5.9,35-45,Yes,Open,High,FALSE,SYNTHETIC
2625,Eve-teasing,Low,09-06-2023,22:00,Tuesday,Waghodia,22.287107,73.090573,Yes,Yes,14.3,18-25,No,Under Trial,High,FALSE,SYNTHETIC
2535,Eve-teasing,Low,13-07-2023,08:30,Tuesday,Akota,22.237401,73.080933,Yes,Yes,4.4,18-25,No,Investigation,Medium,FALSE,SYNTHETIC
2940,Assault & Harassment,Medium,30-07-2019,08:30,Wednesday,Kunal Crossroads,22.376276,73.14146,Yes,No,13.3,18-25,No,Investigation,Medium,FALSE,SYNTHETIC
2149,Harassment,Low,19-12-2019,20:30,Friday,Padra,22.399293,73.129249,Yes,No,7.5,Child,No,Closed,Low,FALSE,SYNTHETIC
2898,Attempted Theft & Harassment,Low,08-09-2019,06:00,Monday,Kunal Crossroads,22.297538,73.079403,Yes,No,12.2,Child,No,Investigation,Medium,FALSE,SYNTHETIC
2509,Sexual Harassment (Public Transport),Medium,23-11-2024,17:30,Friday,Gorwa,22.20044,73.188861,No,Yes,14.6,Teen,Yes,Open,Low,FALSE,SYNTHETIC
2804,Gang Rape,High,04-04-2020,12:00,Monday,Suncity,22.352168,73.078074,No,No,8.8,Child,Yes,Open,High,FALSE,SYNTHETIC
2966,Sexual Harassment (Public Transport),Medium,20-07-2018,20:30,Monday,Sama,22.375239,73.273002,Yes,No,13.4,35-45,No,Open,High,FALSE,SYNTHETIC
2797,Sexual Harassment (Public Transport),Medium,13-02-2022,17:30,Friday,Chhani,22.324413,73.056834,No,Yes,6.4,35-45,Yes,Open,Medium,FALSE,SYNTHETIC
2067,Attempted Theft & Harassment,Low,28-06-2018,19:00,Friday,Vasna,22.378358,73.125308,No,Yes,14.8,Child,Yes,Investigation,Low,FALSE,SYNTHETIC
2413,Stalking,Medium,07-02-2019,23:30,Saturday,Akota,22.331143,73.144842,Yes,No,10.8,45+,Yes,Open,High,FALSE,SYNTHETIC
2165,Molestation,Medium,03-09-2022,23:30,Saturday,Ajwa Road,22.247105,73.093749,Yes,Yes,5.1,Teen,No,Under Trial,Low,FALSE,SYNTHETIC
2959,Sexual Assault (workplace),High,01-07-2024,06:00,Thursday,Chhani,22.162005,73.079474,No,Yes,2.9,18-25,Yes,Under Trial,Low,FALSE,SYNTHETIC
2515,Harassment,Low,15-10-2019,17:30,Monday,Akota,22.214599,73.230885,Yes,Yes,9.9,18-25,Yes,Sentenced,Medium,FALSE,SYNTHETIC
2275,Eve-teasing,Low,06-03-2019,23:30,Tuesday,Vadodara Railway Station,22.220677,73.22619,No,No,7.6,45+,Yes,Under Trial,High,FALSE,SYNTHETIC
2873,Sexual Harassment (Public Transport),Medium,23-10-2020,08:30,Friday,Harni,22.313023,73.074503,Yes,No,13,35-45,No,Under Trial,Low,FALSE,SYNTHETIC
2406,Eve-teasing,Low,04-04-2021,15:00,Friday,Alkapuri,22.155997,73.186365,Yes,Yes,1.9,18-25,No,Investigation,Low,FALSE,SYNTHETIC
2694,Rape (motel),High,22-08-2019,20:30,Tuesday,Alkapuri,22.199911,73.246088,No,No,5.8,45+,No,Under Trial,High,FALSE,SYNTHETIC
2241,Attempted Rape,High,19-06-2025,12:00,Friday,Chhani,22.333499,73.103629,Yes,Yes,2.8,Teen,No,Closed,Medium,FALSE,SYNTHETIC
2218,Molestation,Medium,21-02-2018,12:00,Sunday,Alkapuri,22.274103,73.116676,No,Yes,7.9,Child,No,Open,Low,FALSE,SYNTHETIC
2540,Sexual Assault (workplace),High,04-07-2023,20:30,Thursday,Sama,22.300878,73.119761,No,No,1.6,25-35,Yes,Investigation,High,FALSE,SYNTHETIC
2564,Harassment,Low,06-11-2023,19:00,Monday,Padra,22.156973,73.22915,Yes,No,9,18-25,No,Under Trial,High,FALSE,SYNTHETIC
2426,Attempted Theft & Harassment,Low,08-05-2018,15:00,Tuesday,Suncity,22.297541,73.186304,No,Yes,10.7,35-45,No,Investigation,Low,FALSE,SYNTHETIC
2848,Assault & Harassment,Medium,24-01-2025,20:30,Saturday,Vadodara Railway Station,22.285853,73.103854,No,Yes,3.4,25-35,No,Sentenced,Low,FALSE,SYNTHETIC
2781,Theft (with harassment),Medium,28-09-2021,23:30,Saturday,Vadodara Railway Station,22.17819,73.201446,Yes,No,11,Teen,Yes,Sentenced,High,FALSE,SYNTHETIC
2580,Rape (motel),High,22-03-2024,12:00,Sunday,Sama,22.251686,73.050977,Yes,No,9.6,18-25,Yes,Open,High,FALSE,SYNTHETIC
2830,Sexual Harassment (Public Transport),Medium,01-04-2022,06:00,Friday,Akota,22.340653,73.192303,Yes,No,14.3,18-25,No,Investigation,Low,FALSE,SYNTHETIC
2246,Rape (motel),High,07-05-2018,20:30,Saturday,Padra,22.372438,73.069276,No,No,1.7,18-25,Yes,Investigation,Medium,FALSE,SYNTHETIC
2976,Attempted Rape,High,26-01-2025,19:00,Tuesday,Manjalpur,22.380167,73.230474,No,No,11,25-35,No,Under Trial,Low,FALSE,SYNTHETIC
2510,Eve-teasing,Low,02-01-2025,08:30,Monday,Padra Road,22.297966,73.098341,No,No,8.6,45+,No,Investigation,Low,FALSE,SYNTHETIC
2036,Attempted Theft & Harassment,Low,08-10-2022,15:00,Friday,Padra,22.279489,73.042555,No,No,3.9,Teen,No,Open,Medium,FALSE,SYNTHETIC
2101,Theft (with harassment),Medium,13-01-2025,19:00,Thursday,Akota,22.167072,73.140552,No,Yes,4.7,25-35,Yes,Open,Low,FALSE,SYNTHETIC
2196,Rape (motel),High,03-12-2024,12:00,Tuesday,Sama,22.297542,73.198028,No,No,4.8,18-25,No,Open,Low,FALSE,SYNTHETIC
2006,Theft (with harassment),Medium,28-12-2023,15:00,Sunday,Padra,22.244864,73.277381,Yes,Yes,9.7,45+,Yes,Investigation,High,FALSE,SYNTHETIC
2053,Attempted Rape,High,25-02-2019,06:00,Sunday,Padra Road,22.267349,73.140117,Yes,No,2.9,Teen,No,Closed,Medium,FALSE,SYNTHETIC
2025,Attempted Theft & Harassment,Low,24-10-2019,22:00,Friday,Harni,22.256922,73.032417,Yes,No,1.3,Child,Yes,Investigation,High,FALSE,SYNTHETIC
2228,Stalking,Medium,10-05-2019,23:30,Saturday,Gorwa,22.262979,73.145837,Yes,Yes,12.8,Teen,Yes,Under Trial,Low,FALSE,SYNTHETIC
2702,Molestation,Medium,23-10-2024,17:30,Wednesday,Sayajigunj,22.1509,73.172974,No,Yes,9,Teen,No,Investigation,Medium,FALSE,SYNTHETIC
2262,Sexual Assault (workplace),High,12-06-2020,22:00,Wednesday,Sama,22.280159,73.185902,No,Yes,8.9,Teen,No,Investigation,Medium,FALSE,SYNTHETIC
2874,Stalking,Medium,13-03-2022,12:00,Wednesday,Alkapuri,22.26052,73.161501,Yes,No,0.3,25-35,No,Open,Low,FALSE,SYNTHETIC
2895,Attempted Rape,High,28-07-2025,22:00,Saturday,Gotri,22.389628,73.135434,Yes,No,2.6,Child,Yes,Investigation,Low,FALSE,SYNTHETIC
2791,Molestation,Medium,20-09-2020,23:30,Thursday,Gorwa,22.305222,73.254978,No,Yes,13.2,Teen,No,Open,Medium,FALSE,SYNTHETIC
2225,Sexual Harassment (Public Transport),Medium,20-04-2020,23:30,Sunday,Raopura,22.273007,73.044974,No,No,15,Child,No,Open,High,FALSE,SYNTHETIC
2803,Assault & Harassment,Medium,14-03-2022,06:00,Saturday,Padra,22.176915,73.142377,No,Yes,2.2,Child,Yes,Open,Medium,FALSE,SYNTHETIC
2302,Attempted Theft & Harassment,Low,02-03-2019,15:00,Monday,Harni,22.369659,73.215344,Yes,Yes,6.6,Teen,Yes,Open,Medium,FALSE,SYNTHETIC
2624,Sexual Harassment (Public Transport),Medium,20-04-2018,08:30,Tuesday,Nizampura,22.235914,73.129835,No,No,3.1,Teen,Yes,Open,Medium,FALSE,SYNTHETIC
2139,Sexual Harassment (Public Transport),Medium,16-11-2024,19:00,Sunday,Padra,22.397654,73.21483,Yes,No,4.6,25-35,No,Under Trial,Low,FALSE,SYNTHETIC
2958,Attempted Theft & Harassment,Low,15-07-2020,17:30,Thursday,Padra,22.314842,73.112156,No,Yes,14.6,Child,No,Under Trial,Low,FALSE,SYNTHETIC
2410,Assault & Harassment,Medium,04-09-2019,17:30,Sunday,Alkapuri,22.395905,73.186628,No,No,12.7,45+,No,Open,Low,FALSE,SYNTHETIC
2922,Attempted Rape,High,25-04-2018,15:00,Wednesday,Padra Road,22.187091,73.033017,Yes,No,5.6,45+,No,Investigation,High,FALSE,SYNTHETIC
2443,Molestation,Medium,28-03-2025,22:00,Monday,Manjalpur,22.285158,73.137813,Yes,No,9.3,Teen,No,Under Trial,Low,FALSE,SYNTHETIC
2290,Theft (with harassment),Medium,18-06-2022,19:00,Wednesday,Sama,22.351199,73.064545,Yes,Yes,9.1,Child,No,Under Trial,Medium,FALSE,SYNTHETIC
2678,Molestation,Medium,24-10-2024,08:30,Monday,Gotri,22.229499,73.217968,Yes,Yes,2.9,Child,No,Investigation,Low,FALSE,SYNTHETIC
2041,Theft (with harassment),Medium,08-10-2021,20:30,Sunday,Padra,22.379885,73.27518,No,Yes,8.1,35-45,Yes,Open,Medium,FALSE,SYNTHETIC
2865,Rape (motel),High,03-04-2021,23:30,Saturday,Sayajigunj,22.387999,73.122813,Yes,Yes,9.1,35-45,No,Open,Low,FALSE,SYNTHETIC
2576,Sexual Harassment (Public Transport),Medium,07-07-2023,06:00,Friday,Kunal Crossroads,22.195127,73.036014,Yes,No,8,35-45,No,Open,High,FALSE,SYNTHETIC
2748,Attempted Theft & Harassment,Low,21-09-2019,19:00,Friday,Ajwa Road,22.299986,73.113772,No,Yes,14.4,35-45,Yes,Investigation,Low,FALSE,SYNTHETIC
2630,Assault & Harassment,Medium,25-05-2020,08:30,Sunday,Gorwa,22.193405,73.130535,No,No,4.9,35-45,Yes,Investigation,Low,FALSE,SYNTHETIC
